WKT,X,Y,longitude,latitude,county
"POINT (-78.793722463834399 41.21694718359565)",-78.7937220000,41.2169471000,-78.7937220000,41.2169471000,Jefferson
"POINT (-76.261012232940359 41.947789087634717)",-76.2610120000,41.9477890000,-76.2610120000,41.9477890000,Bradford
"POINT (-80.134706980455576 39.913966319568345)",-80.1347060000,39.9139663000,-80.1347060000,39.9139663000,Greene
"POINT (-80.095389985645639 39.960431420075984)",-80.0953890000,39.9604314000,-80.0953890000,39.9604314000,Greene
"POINT (-80.077706970317351 39.972602970676981)",-80.0777060000,39.9726029000,-80.0777060000,39.9726029000,Greene
"POINT (-78.479052197742789 40.839996859125471)",-78.4790520000,40.8399968000,-78.4790520000,40.8399968000,Clearfield
"POINT (-78.479320061621294 40.839868449529611)",-78.4793200000,40.8398684000,-78.4793200000,40.8398684000,Clearfield
"POINT (-80.497712632902761 40.749461517305271)",-80.4977120000,40.7494615000,-80.4977120000,40.7494615000,Beaver
"POINT (-78.920077625018138 41.267097466493041)",-78.9200770000,41.2670974000,-78.9200770000,41.2670974000,Jefferson
"POINT (-78.920112197276339 41.267691205858661)",-78.9201120000,41.2676912000,-78.9201120000,41.2676912000,Jefferson
"POINT (-76.226351 41.60075)",-76.2263510000,41.6007500000,-76.2263510000,41.6007500000,Bradford
"POINT (-80.277676905876604 39.910610443599417)",-80.2776760000,39.9106104000,-80.2776760000,39.9106104000,Greene
"POINT (-80.303978 39.914975)",-80.3039780000,39.9149750000,-80.3039780000,39.9149750000,Greene
"POINT (-80.265124097454361 39.938523407827475)",-80.2651240000,39.9385234000,-80.2651240000,39.9385234000,Greene
"POINT (-80.264438 39.945599)",-80.2644380000,39.9455990000,-80.2644380000,39.9455990000,Greene
"POINT (-80.194468543312865 39.981006238816889)",-80.1944680000,39.9810062000,-80.1944680000,39.9810062000,Greene
"POINT (-80.477984653772609 39.817225907099143)",-80.4779840000,39.8172259000,-80.4779840000,39.8172259000,Greene
"POINT (-80.068929208101267 39.97955270661668)",-80.0689290000,39.9795527000,-80.0689290000,39.9795527000,Greene
